Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,261.415
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,8.226
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,2.896
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,11.7375
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,35.69
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,28.116
Female,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,241.255
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,4.03
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,21.036
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,8.767
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,22.09
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,19.884
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,3.406
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,27.396
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,21.968
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,4.336
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,20.736
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.1945
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,3.574
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,34.392
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,36.175
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,3.711
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,247.815
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,3.347
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,29.283
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,9.165
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,7.278
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,22.773
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,20.825
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,9.1945
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,39.155
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,5.095
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,29.757
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,14.502
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4,16.072
Female,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7,29.071
Female,318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6,23.097
Female,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47.38,4,9.476
Female,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10,22.43
Female,873-51-0671,A,Yangon,Member,Sports and travel,21.98,7,7.693
Female,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6,3.735
Female,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9,10.3815
Female,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9,15.291
Female,479-26-8945,B,Mandalay,Member,Sports and travel,16.49,2,1.649
Female,210-67-5886,C,Naypyitaw,Member,Health and beauty,98.21,3,147.315
Female,227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7,25.494
Female,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80.79,9,363.555
Female,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3,4.053
Female,642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10,5.48
Female,638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8,39.824
Female,268-27-6179,B,Mandalay,Member,Fashion accessories,56.47,8,22.588
Female,668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7,327.915
Female,870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5,8.0625
Female,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9,142.785
Female,663-86-9076,C,Naypyitaw,Member,Food and beverages,68.54,8,27.416
Female,549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9,40.626
Female,191-10-6171,B,Mandalay,Normal,Fashion accessories,39.62,7,13.867
Female,802-70-5316,A,Yangon,Member,Sports and travel,92.13,6,27.639
Female,695-51-0018,B,Mandalay,Normal,Sports and travel,34.84,4,6.968
Female,483-71-1164,C,Naypyitaw,Normal,Health and beauty,81.3,6,24.39
Female,700-81-1757,A,Yangon,Normal,Electronic accessories,26.31,5,6.5775
Female,354-39-5160,A,Yangon,Member,Home and lifestyle,34.42,6,10.326
Female,731-81-9469,C,Naypyitaw,Member,Sports and travel,89.8,10,44.9
Female,338-65-2210,C,Naypyitaw,Member,Health and beauty,68.6,10,34.3
Female,488-25-4221,C,Naypyitaw,Member,Food and beverages,30.41,1,1.5205
Female,239-10-7476,A,Yangon,Normal,Home and lifestyle,77.95,6,23.385
Female,458-41-1477,C,Naypyitaw,Normal,Health and beauty,46.26,6,13.878
Female,685-64-1609,A,Yangon,Member,Fashion accessories,30.14,10,15.07
Female,608-96-3517,B,Mandalay,Member,Fashion accessories,91.54,4,18.308
Female,214-17-6927,C,Naypyitaw,Normal,Food and beverages,16.48,6,4.944
Female,400-89-4171,C,Naypyitaw,Normal,Sports and travel,80.97,8,32.388
Female,894-41-5205,C,Naypyitaw,Normal,Food and beverages,43.18,8,17.272
Female,139-52-2867,C,Naypyitaw,Normal,Fashion accessories,22.51,7,7.8785
Female,586-25-0848,A,Yangon,Normal,Sports and travel,12.34,7,4.319
Female,305-14-0245,B,Mandalay,Member,Home and lifestyle,94.49,8,37.796
Female,593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,69.81,4,13.962
Female,284-34-9626,B,Mandalay,Normal,Home and lifestyle,77.04,3,11.556
Female,437-58-8131,B,Mandalay,Normal,Fashion accessories,73.52,2,7.352
Female,286-43-6208,C,Naypyitaw,Normal,Food and beverages,87.8,9,39.51
Female,556-86-3144,C,Naypyitaw,Member,Fashion accessories,74.29,1,3.7145
Female,856-22-8149,A,Yangon,Normal,Home and lifestyle,25.29,1,1.2645
